,win_rate_bm,games_played_bm,games_won_bm,win_rate_last_3_bm,win_rate_last_5_bm,win_rate_last_8_bm,win_rate_last_10_bm,win_streak_3_bm,win_streak_5_bm,opp_win_rate_bm,opp_games_played_bm,opp_games_won_bm,opp_win_rate_last_3_bm,opp_win_rate_last_5_bm,opp_win_rate_last_8_bm,opp_win_rate_last_10_bm,opp_win_streak_3_bm,opp_win_streak_5_bm,team_wins
142,0.6470588235294118,119.0,77.0,0.6666666666666666,0.6,0.75,0.7,0.0,0.0,0.6747967479674797,123.0,83.0,1.0,0.6,0.75,0.7,1.0,0.0,True
143,0.65,120.0,78.0,0.6666666666666666,0.6,0.75,0.8,0.0,0.0,0.6666666666666666,111.0,74.0,0.6666666666666666,0.8,0.875,0.8,0.0,0.0,False
144,0.6446280991735537,121.0,78.0,0.3333333333333333,0.6,0.625,0.7,0.0,0.0,0.672,125.0,84.0,0.6666666666666666,0.8,0.625,0.7,0.0,0.0,False
145,0.639344262295082,122.0,78.0,0.3333333333333333,0.4,0.5,0.6,0.0,0.0,0.706766917293233,133.0,94.0,0.6666666666666666,0.6,0.5,0.6,0.0,0.0,True
146,0.6422764227642277,123.0,79.0,0.3333333333333333,0.4,0.5,0.6,0.0,0.0,0.6744186046511628,129.0,87.0,0.6666666666666666,0.8,0.75,0.7,0.0,0.0,False
147,0.6370967741935484,124.0,79.0,0.3333333333333333,0.4,0.5,0.5,0.0,0.0,0.7547169811320755,159.0,120.0,0.3333333333333333,0.2,0.25,0.4,0.0,0.0,True
148,0.64,125.0,80.0,0.6666666666666666,0.4,0.5,0.5,0.0,0.0,0.6717557251908397,131.0,88.0,0.6666666666666666,0.6,0.625,0.7,0.0,0.0,True
149,0.6428571428571429,126.0,81.0,0.6666666666666666,0.6,0.5,0.6,0.0,0.0,0.7083333333333334,168.0,119.0,0.6666666666666666,0.8,0.875,0.8,0.0,0.0,True
150,0.6456692913385826,127.0,82.0,1.0,0.8,0.625,0.6,1.0,0.0,0.7241379310344828,58.0,42.0,1.0,0.6,0.75,0.8,1.0,0.0,True
151,0.6484375,128.0,83.0,1.0,0.8,0.625,0.6,1.0,0.0,0.7125,80.0,57.0,0.3333333333333333,0.6,0.75,0.8,0.0,0.0,True
152,0.6511627906976745,129.0,84.0,1.0,1.0,0.75,0.7,1.0,1.0,0.84375,32.0,27.0,0.3333333333333333,0.6,0.75,0.8,0.0,0.0,False
153,0.6461538461538462,130.0,84.0,0.6666666666666666,0.8,0.75,0.6,0.0,0.0,0.7073170731707317,82.0,58.0,0.3333333333333333,0.4,0.625,0.7,0.0,0.0,False
